price,region,postal_code,baths,beds,sqft,lot_size,year_built
6500000.0,CA,90210,6,5,"6,500",1.23,1949
825000.0,CA,90745,3,3,"1,850",.17,2005
750000.0,CA,90745,2,2,"1,200",.15,2002
675000.0,CA,90745,3,2,"1,500",.20,2003
650000.0,CA,90745,2,2,"1,300",.12,2001
1986895.0,CA,91306,2,3,"6,899",1956
2000000.0,CA,91604,4,5,"1,618",1.0,1963
828000.0,CA,91790,4,2,"1,251",0.20,2004
765000.0,CA,90712,3,2,"1,491",0.17,2004
8163666.0,CA,90077,7.50,8,"7,000",18000,2004
930000.0,CA,92805,4,2.5,"2,031",5535,2021
536000.0,OR,97206,5,4,"6,098",0.22,2002
500300.0,OR,97229,2.5,3,"1,491",2004
505000.0,OR,97231,2,3,"1,491",0.69,1924
395000.0,OR,97011,3,4,"7,200",1.80,1966
409000.0,OR,97535,3,2,"1,500",0.11,2023
815000.0,,OR,97327,4,2,2046,5.10,2021
780200.0,OR,97223,2.5,3,"1,491",0.17,2004